"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4786","Verify that pet can be retrieved successfully by ID","API Test Suite","Sat Jan 10 18:07:46 UTC 2026","passed","Sat Jan 10 18:07:51 UTC 2026","api.GetPetTest","API Tests","api.GetPetTest","verifyPetCanBeRetrievedById"
"","11173","Verify that user can successfully login and logout","Web Test Suite","Sat Jan 10 18:07:57 UTC 2026","passed","Sat Jan 10 18:08:08 UTC 2026","web.LoginTest","Web Tests","web.LoginTest","successfulLoginAndLogoutTest"
"","5034","Verify that pet can be created successfully with valid data","API Test Suite","Sat Jan 10 18:07:46 UTC 2026","passed","Sat Jan 10 18:07:51 UTC 2026","api.CreatePetTest","API Tests","api.CreatePetTest","verifyPetCanBeCreatedSuccessfully"
"","11612","Verify that user can add multiple products to cart and remove one","Web Test Suite","Sat Jan 10 18:07:57 UTC 2026","passed","Sat Jan 10 18:08:09 UTC 2026","web.ShoppingTest","Web Tests","web.ShoppingTest","addMultipleProductsAndRemoveOneTest"
"","3482","Verify that products are sorted correctly","Mobile Test Suite","Sat Jan 10 18:08:49 UTC 2026","passed","Sat Jan 10 18:08:53 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","3472","Verify that products are sorted correctly","Mobile Test Suite","Sat Jan 10 18:08:28 UTC 2026","passed","Sat Jan 10 18:08:31 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","9979","Verify that user cannot login with invalid credentials","Mobile Test Suite","Sat Jan 10 18:09:36 UTC 2026","passed","Sat Jan 10 18:09:46 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","12048","Verify that user can complete checkout process with generated user data","Web Test Suite","Sat Jan 10 18:07:57 UTC 2026","passed","Sat Jan 10 18:08:09 UTC 2026","web.CheckoutTest","Web Tests","web.CheckoutTest","completeCheckoutWithGeneratedUserDataTest"
"","9267","Verify that user cannot login with invalid credentials","Mobile Test Suite","Sat Jan 10 18:08:38 UTC 2026","passed","Sat Jan 10 18:08:47 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","9771","Verify that user can login with valid credentials","Mobile Test Suite","Sat Jan 10 18:08:04 UTC 2026","passed","Sat Jan 10 18:08:14 UTC 2026","mobile.LoginTest","Mobile Tests","mobile.LoginTest","validLoginTest"
"","4017","Verify that pet can be deleted successfully by ID","API Test Suite","Sat Jan 10 18:07:46 UTC 2026","passed","Sat Jan 10 18:07:50 UTC 2026","api.DeletePetTest","API Tests","api.DeletePetTest","verifyPetCanBeDeletedSuccessfully"
"","6165","Verify that user can add and remove product from cart","Mobile Test Suite","Sat Jan 10 18:08:07 UTC 2026","passed","Sat Jan 10 18:08:13 UTC 2026","mobile.CartTest","Mobile Tests","mobile.CartTest","addAndRemoveProductFromCartTest"
"","9179","Verify that user cannot login with invalid credentials","Mobile Test Suite","Sat Jan 10 18:08:07 UTC 2026","passed","Sat Jan 10 18:08:16 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","4292","Verify that products are sorted correctly","Mobile Test Suite","Sat Jan 10 18:08:06 UTC 2026","passed","Sat Jan 10 18:08:10 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","3458","Verify that products are sorted correctly","Mobile Test Suite","Sat Jan 10 18:09:14 UTC 2026","passed","Sat Jan 10 18:09:18 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","9021","Verify that user cannot login with invalid credentials","Mobile Test Suite","Sat Jan 10 18:10:02 UTC 2026","passed","Sat Jan 10 18:10:11 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","5191","Verify that pet can be updated successfully with new data","API Test Suite","Sat Jan 10 18:07:46 UTC 2026","passed","Sat Jan 10 18:07:51 UTC 2026","api.UpdatePetTest","API Tests","api.UpdatePetTest","verifyPetCanBeUpdatedSuccessfully"
"","9910","Verify that user cannot login with invalid credentials","Mobile Test Suite","Sat Jan 10 18:10:29 UTC 2026","passed","Sat Jan 10 18:10:39 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","9035","Verify that user cannot login with invalid credentials","Mobile Test Suite","Sat Jan 10 18:09:06 UTC 2026","passed","Sat Jan 10 18:09:15 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
