"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4019","Verify that products are sorted correctly","Mobile Test Suite","Mon Dec 22 17:38:50 UTC 2025","passed","Mon Dec 22 17:38:54 UTC 2025","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"Verify that pet can be deleted successfully by ID","4342","verifyPetCanBeDeletedSuccessfully","API Test Suite","Mon Dec 22 17:35:50 UTC 2025","passed","Mon Dec 22 17:35:54 UTC 2025","api.DeletePetTest","API Tests","api.DeletePetTest","verifyPetCanBeDeletedSuccessfully"
"","3931","Verify that products are sorted correctly","Mobile Test Suite","Mon Dec 22 17:37:12 UTC 2025","passed","Mon Dec 22 17:37:16 UTC 2025","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"Verify that pet can be created successfully with valid data","4246","verifyPetCanBeCreatedSuccessfully","API Test Suite","Mon Dec 22 17:35:50 UTC 2025","passed","Mon Dec 22 17:35:54 UTC 2025","api.CreatePetTest","API Tests","api.CreatePetTest","verifyPetCanBeCreatedSuccessfully"
"","10570","Verify that user cannot login with invalid credentials","Mobile Test Suite","Mon Dec 22 17:39:15 UTC 2025","passed","Mon Dec 22 17:39:26 UTC 2025","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","10204","Verify that user cannot login with invalid credentials","Mobile Test Suite","Mon Dec 22 17:38:21 UTC 2025","passed","Mon Dec 22 17:38:31 UTC 2025","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","10241","Verify that user can login with valid credentials","Mobile Test Suite","Mon Dec 22 17:36:49 UTC 2025","passed","Mon Dec 22 17:37:00 UTC 2025","mobile.LoginTest","Mobile Tests","mobile.LoginTest","validLoginTest"
"","9949","Verify that user cannot login with invalid credentials","Mobile Test Suite","Mon Dec 22 17:38:49 UTC 2025","passed","Mon Dec 22 17:38:59 UTC 2025","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","9954","Verify that user cannot login with invalid credentials","Mobile Test Suite","Mon Dec 22 17:36:50 UTC 2025","passed","Mon Dec 22 17:37:00 UTC 2025","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","3872","Verify that products are sorted correctly","Mobile Test Suite","Mon Dec 22 17:38:28 UTC 2025","passed","Mon Dec 22 17:38:32 UTC 2025","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","10071","Verify that user cannot login with invalid credentials","Mobile Test Suite","Mon Dec 22 17:37:19 UTC 2025","passed","Mon Dec 22 17:37:29 UTC 2025","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"Verify that pet can be updated successfully with new data","5396","verifyPetCanBeUpdatedSuccessfully","API Test Suite","Mon Dec 22 17:35:50 UTC 2025","passed","Mon Dec 22 17:35:55 UTC 2025","api.UpdatePetTest","API Tests","api.UpdatePetTest","verifyPetCanBeUpdatedSuccessfully"
"","6956","Verify that user can add and remove product from cart","Mobile Test Suite","Mon Dec 22 17:36:50 UTC 2025","passed","Mon Dec 22 17:36:57 UTC 2025","mobile.CartTest","Mobile Tests","mobile.CartTest","addAndRemoveProductFromCartTest"
"","10609","Verify that user cannot login with invalid credentials","Mobile Test Suite","Mon Dec 22 17:37:45 UTC 2025","passed","Mon Dec 22 17:37:56 UTC 2025","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"Verify that pet can be retrieved successfully by ID","4382","verifyPetCanBeRetrievedById","API Test Suite","Mon Dec 22 17:35:50 UTC 2025","passed","Mon Dec 22 17:35:54 UTC 2025","api.GetPetTest","API Tests","api.GetPetTest","verifyPetCanBeRetrievedById"
"","4179","Verify that products are sorted correctly","Mobile Test Suite","Mon Dec 22 17:36:50 UTC 2025","passed","Mon Dec 22 17:36:54 UTC 2025","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
