"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3979","Verify that products are sorted correctly","Mobile Test Suite","Fri Jan 09 15:14:16 UTC 2026","passed","Fri Jan 09 15:14:20 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","4534","Verify that products are sorted correctly","Mobile Test Suite","Fri Jan 09 15:14:46 UTC 2026","passed","Fri Jan 09 15:14:50 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","5373","Verify that pet can be updated successfully with new data","API Test Suite","Fri Jan 09 15:12:59 UTC 2026","passed","Fri Jan 09 15:13:04 UTC 2026","api.UpdatePetTest","API Tests","api.UpdatePetTest","verifyPetCanBeUpdatedSuccessfully"
"","13839","Verify that user can add multiple products to cart and remove one","Web Test Suite","Fri Jan 09 15:13:06 UTC 2026","passed","Fri Jan 09 15:13:20 UTC 2026","web.ShoppingTest","Web Tests","web.ShoppingTest","addMultipleProductsAndRemoveOneTest"
"","5695","Verify that products are sorted correctly","Mobile Test Suite","Fri Jan 09 15:15:39 UTC 2026","passed","Fri Jan 09 15:15:45 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","9979","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Jan 09 15:13:24 UTC 2026","passed","Fri Jan 09 15:13:34 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","9767","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Jan 09 15:16:42 UTC 2026","passed","Fri Jan 09 15:16:52 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","5170","Verify that pet can be created successfully with valid data","API Test Suite","Fri Jan 09 15:12:59 UTC 2026","passed","Fri Jan 09 15:13:04 UTC 2026","api.CreatePetTest","API Tests","api.CreatePetTest","verifyPetCanBeCreatedSuccessfully"
"","4914","Verify that pet can be retrieved successfully by ID","API Test Suite","Fri Jan 09 15:12:59 UTC 2026","passed","Fri Jan 09 15:13:04 UTC 2026","api.GetPetTest","API Tests","api.GetPetTest","verifyPetCanBeRetrievedById"
"","4373","Verify that pet can be deleted successfully by ID","API Test Suite","Fri Jan 09 15:12:59 UTC 2026","passed","Fri Jan 09 15:13:03 UTC 2026","api.DeletePetTest","API Tests","api.DeletePetTest","verifyPetCanBeDeletedSuccessfully"
"","13300","Verify that user can successfully login and logout","Web Test Suite","Fri Jan 09 15:13:06 UTC 2026","passed","Fri Jan 09 15:13:20 UTC 2026","web.LoginTest","Web Tests","web.LoginTest","successfulLoginAndLogoutTest"
"","14342","Verify that user can complete checkout process with generated user data","Web Test Suite","Fri Jan 09 15:13:06 UTC 2026","passed","Fri Jan 09 15:13:21 UTC 2026","web.CheckoutTest","Web Tests","web.CheckoutTest","completeCheckoutWithGeneratedUserDataTest"
"","11440","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Jan 09 15:15:17 UTC 2026","passed","Fri Jan 09 15:15:28 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","4757","Verify that products are sorted correctly","Mobile Test Suite","Fri Jan 09 15:13:41 UTC 2026","passed","Fri Jan 09 15:13:45 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","6033","Verify that user can add and remove product from cart","Mobile Test Suite","Fri Jan 09 15:13:35 UTC 2026","passed","Fri Jan 09 15:13:41 UTC 2026","mobile.CartTest","Mobile Tests","mobile.CartTest","addAndRemoveProductFromCartTest"
"","9385","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Jan 09 15:13:53 UTC 2026","passed","Fri Jan 09 15:14:02 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","9649","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Jan 09 15:14:22 UTC 2026","passed","Fri Jan 09 15:14:32 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","12654","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Jan 09 15:16:12 UTC 2026","passed","Fri Jan 09 15:16:24 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","9852","Verify that user can login with valid credentials","Mobile Test Suite","Fri Jan 09 15:13:24 UTC 2026","passed","Fri Jan 09 15:13:34 UTC 2026","mobile.LoginTest","Mobile Tests","mobile.LoginTest","validLoginTest"
