"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that pet can be deleted successfully by ID","3694","verifyPetCanBeDeletedSuccessfully","API Test Suite","Mon Dec 22 15:02:04 UTC 2025","passed","Mon Dec 22 15:02:08 UTC 2025","api.DeletePetTest","API Tests","api.DeletePetTest","verifyPetCanBeDeletedSuccessfully"
"","10906","Verify that user can login with valid credentials","Mobile Test Suite","Mon Dec 22 15:03:02 UTC 2025","passed","Mon Dec 22 15:03:13 UTC 2025","mobile.LoginTest","Mobile Tests","mobile.LoginTest","validLoginTest"
"","3400","Verify that products are sorted correctly","Mobile Test Suite","Mon Dec 22 15:03:04 UTC 2025","passed","Mon Dec 22 15:03:07 UTC 2025","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","11544","Verify that user cannot login with invalid credentials","Mobile Test Suite","Mon Dec 22 15:03:03 UTC 2025","passed","Mon Dec 22 15:03:14 UTC 2025","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","9801","Verify that user cannot login with invalid credentials","Mobile Test Suite","Mon Dec 22 15:03:36 UTC 2025","passed","Mon Dec 22 15:03:46 UTC 2025","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"Verify that pet can be retrieved successfully by ID","3695","verifyPetCanBeRetrievedById","API Test Suite","Mon Dec 22 15:02:04 UTC 2025","passed","Mon Dec 22 15:02:08 UTC 2025","api.GetPetTest","API Tests","api.GetPetTest","verifyPetCanBeRetrievedById"
"","8727","Verify that user cannot login with invalid credentials","Mobile Test Suite","Mon Dec 22 15:05:06 UTC 2025","passed","Mon Dec 22 15:05:14 UTC 2025","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","3880","Verify that products are sorted correctly","Mobile Test Suite","Mon Dec 22 15:03:28 UTC 2025","passed","Mon Dec 22 15:03:32 UTC 2025","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","7389","Verify that user can add and remove product from cart","Mobile Test Suite","Mon Dec 22 15:02:59 UTC 2025","passed","Mon Dec 22 15:03:06 UTC 2025","mobile.CartTest","Mobile Tests","mobile.CartTest","addAndRemoveProductFromCartTest"
"","9661","Verify that user cannot login with invalid credentials","Mobile Test Suite","Mon Dec 22 15:05:30 UTC 2025","passed","Mon Dec 22 15:05:40 UTC 2025","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"Verify that pet can be created successfully with valid data","3691","verifyPetCanBeCreatedSuccessfully","API Test Suite","Mon Dec 22 15:02:04 UTC 2025","passed","Mon Dec 22 15:02:08 UTC 2025","api.CreatePetTest","API Tests","api.CreatePetTest","verifyPetCanBeCreatedSuccessfully"
"Verify that pet can be updated successfully with new data","4736","verifyPetCanBeUpdatedSuccessfully","API Test Suite","Mon Dec 22 15:02:04 UTC 2025","passed","Mon Dec 22 15:02:09 UTC 2025","api.UpdatePetTest","API Tests","api.UpdatePetTest","verifyPetCanBeUpdatedSuccessfully"
"","11023","Verify that user cannot login with invalid credentials","Mobile Test Suite","Mon Dec 22 15:04:36 UTC 2025","passed","Mon Dec 22 15:04:47 UTC 2025","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","10507","Verify that user cannot login with invalid credentials","Mobile Test Suite","Mon Dec 22 15:04:03 UTC 2025","passed","Mon Dec 22 15:04:14 UTC 2025","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","4763","Verify that products are sorted correctly","Mobile Test Suite","Mon Dec 22 15:03:49 UTC 2025","passed","Mon Dec 22 15:03:53 UTC 2025","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","4290","Verify that products are sorted correctly","Mobile Test Suite","Mon Dec 22 15:04:10 UTC 2025","passed","Mon Dec 22 15:04:15 UTC 2025","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
