"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10201","Verify that user can add multiple products to cart and remove one","Web Test Suite","Fri Apr 10 17:43:29 UTC 2026","passed","Fri Apr 10 17:43:39 UTC 2026","web.ShoppingTest","Web Tests","web.ShoppingTest","addMultipleProductsAndRemoveOneTest"
"","10895","Verify that user can complete checkout process with generated user data","Web Test Suite","Fri Apr 10 17:43:28 UTC 2026","passed","Fri Apr 10 17:43:39 UTC 2026","web.CheckoutTest","Web Tests","web.CheckoutTest","completeCheckoutWithGeneratedUserDataTest"
"","9684","Verify that user can successfully login and logout","Web Test Suite","Fri Apr 10 17:43:29 UTC 2026","passed","Fri Apr 10 17:43:38 UTC 2026","web.LoginTest","Web Tests","web.LoginTest","successfulLoginAndLogoutTest"
