"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that pet can be updated successfully with new data","5011","verifyPetCanBeUpdatedSuccessfully","API Test Suite","Mon Dec 22 15:32:06 UTC 2025","passed","Mon Dec 22 15:32:11 UTC 2025","api.UpdatePetTest","API Tests","api.UpdatePetTest","verifyPetCanBeUpdatedSuccessfully"
"","9208","Verify that user can login with valid credentials","Mobile Test Suite","Mon Dec 22 15:33:02 UTC 2025","passed","Mon Dec 22 15:33:11 UTC 2025","mobile.LoginTest","Mobile Tests","mobile.LoginTest","validLoginTest"
"","9898","Verify that user cannot login with invalid credentials","Mobile Test Suite","Mon Dec 22 15:33:04 UTC 2025","passed","Mon Dec 22 15:33:14 UTC 2025","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","6631","Verify that user can add and remove product from cart","Mobile Test Suite","Mon Dec 22 15:33:03 UTC 2025","passed","Mon Dec 22 15:33:10 UTC 2025","mobile.CartTest","Mobile Tests","mobile.CartTest","addAndRemoveProductFromCartTest"
"","9560","Verify that user cannot login with invalid credentials","Mobile Test Suite","Mon Dec 22 15:34:02 UTC 2025","passed","Mon Dec 22 15:34:11 UTC 2025","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","3810","Verify that products are sorted correctly","Mobile Test Suite","Mon Dec 22 15:33:50 UTC 2025","passed","Mon Dec 22 15:33:54 UTC 2025","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","2976","Verify that products are sorted correctly","Mobile Test Suite","Mon Dec 22 15:33:05 UTC 2025","passed","Mon Dec 22 15:33:08 UTC 2025","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","4006","Verify that products are sorted correctly","Mobile Test Suite","Mon Dec 22 15:34:12 UTC 2025","passed","Mon Dec 22 15:34:16 UTC 2025","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","3722","Verify that products are sorted correctly","Mobile Test Suite","Mon Dec 22 15:33:30 UTC 2025","passed","Mon Dec 22 15:33:33 UTC 2025","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","10881","Verify that user cannot login with invalid credentials","Mobile Test Suite","Mon Dec 22 15:34:28 UTC 2025","passed","Mon Dec 22 15:34:39 UTC 2025","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"Verify that pet can be deleted successfully by ID","4000","verifyPetCanBeDeletedSuccessfully","API Test Suite","Mon Dec 22 15:32:06 UTC 2025","passed","Mon Dec 22 15:32:10 UTC 2025","api.DeletePetTest","API Tests","api.DeletePetTest","verifyPetCanBeDeletedSuccessfully"
"Verify that pet can be created successfully with valid data","4000","verifyPetCanBeCreatedSuccessfully","API Test Suite","Mon Dec 22 15:32:06 UTC 2025","passed","Mon Dec 22 15:32:10 UTC 2025","api.CreatePetTest","API Tests","api.CreatePetTest","verifyPetCanBeCreatedSuccessfully"
"","10238","Verify that user cannot login with invalid credentials","Mobile Test Suite","Mon Dec 22 15:35:27 UTC 2025","passed","Mon Dec 22 15:35:37 UTC 2025","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","10673","Verify that user cannot login with invalid credentials","Mobile Test Suite","Mon Dec 22 15:34:57 UTC 2025","passed","Mon Dec 22 15:35:08 UTC 2025","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"Verify that pet can be retrieved successfully by ID","4013","verifyPetCanBeRetrievedById","API Test Suite","Mon Dec 22 15:32:06 UTC 2025","passed","Mon Dec 22 15:32:10 UTC 2025","api.GetPetTest","API Tests","api.GetPetTest","verifyPetCanBeRetrievedById"
"","9737","Verify that user cannot login with invalid credentials","Mobile Test Suite","Mon Dec 22 15:33:33 UTC 2025","passed","Mon Dec 22 15:33:43 UTC 2025","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
