"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","launchApp","Mobile Test Suite","Fri Jan 09 14:47:24 UTC 2026","broken","Fri Jan 09 14:47:24 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","launchApp"
"","4785","Verify that products are sorted correctly","Mobile Test Suite","Fri Jan 09 14:46:55 UTC 2026","passed","Fri Jan 09 14:46:59 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","1","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Jan 09 14:47:04 UTC 2026","skipped","Fri Jan 09 14:47:04 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","0","Verify that products are sorted correctly","Mobile Test Suite","Fri Jan 09 14:47:24 UTC 2026","skipped","Fri Jan 09 14:47:24 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","0","Verify that products are sorted correctly","Mobile Test Suite","Fri Jan 09 14:47:24 UTC 2026","skipped","Fri Jan 09 14:47:24 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","7653","Verify that user can add and remove product from cart","Mobile Test Suite","Fri Jan 09 14:46:53 UTC 2026","passed","Fri Jan 09 14:47:01 UTC 2026","mobile.CartTest","Mobile Tests","mobile.CartTest","addAndRemoveProductFromCartTest"
"","1","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Jan 09 14:47:04 UTC 2026","skipped","Fri Jan 09 14:47:04 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","1","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Jan 09 14:47:04 UTC 2026","skipped","Fri Jan 09 14:47:04 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","4192","Verify that products are sorted correctly","Mobile Test Suite","Fri Jan 09 14:47:18 UTC 2026","passed","Fri Jan 09 14:47:22 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","11708","Verify that user can login with valid credentials","Mobile Test Suite","Fri Jan 09 14:46:54 UTC 2026","passed","Fri Jan 09 14:47:06 UTC 2026","mobile.LoginTest","Mobile Tests","mobile.LoginTest","validLoginTest"
"","1","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Jan 09 14:47:04 UTC 2026","skipped","Fri Jan 09 14:47:04 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","0","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Jan 09 14:47:04 UTC 2026","skipped","Fri Jan 09 14:47:04 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","1","launchApp","Mobile Test Suite","Fri Jan 09 14:47:04 UTC 2026","broken","Fri Jan 09 14:47:04 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","launchApp"
"","10368","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Jan 09 14:46:53 UTC 2026","passed","Fri Jan 09 14:47:03 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
