"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1976","Verify that booking can be updated successfully with new data","API Test Suite","Wed Apr 15 18:00:43 UTC 2026","passed","Wed Apr 15 18:00:45 UTC 2026","api.UpdateBookingTest","API Tests","api.UpdateBookingTest","verifyBookingCanBeUpdatedSuccessfully"
"","4391","Verify that booking can be created successfully with valid data","API Test Suite","Wed Apr 15 18:00:37 UTC 2026","passed","Wed Apr 15 18:00:42 UTC 2026","api.CreateBookingTest","API Tests","api.CreateBookingTest","verifyBookingCanBeCreatedSuccessfully"
"","766","Verify that booking can be retrieved successfully by ID","API Test Suite","Wed Apr 15 18:00:42 UTC 2026","passed","Wed Apr 15 18:00:43 UTC 2026","api.GetBookingTest","API Tests","api.GetBookingTest","verifyBookingCanBeRetrievedById"
"","766","Verify that booking can be deleted successfully by ID","API Test Suite","Wed Apr 15 18:00:45 UTC 2026","passed","Wed Apr 15 18:00:45 UTC 2026","api.DeleteBookingTest","API Tests","api.DeleteBookingTest","verifyBookingCanBeDeletedSuccessfully"
