"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6025","Verify that user can add and remove product from cart","Mobile Test Suite","Fri Apr 10 17:43:30 UTC 2026","passed","Fri Apr 10 17:43:36 UTC 2026","mobile.CartTest","Mobile Tests","mobile.CartTest","addAndRemoveProductFromCartTest"
"","7530","Verify that user can login with valid credentials","Mobile Test Suite","Fri Apr 10 17:43:36 UTC 2026","passed","Fri Apr 10 17:43:43 UTC 2026","mobile.LoginTest","Mobile Tests","mobile.LoginTest","validLoginTest"
"","8052","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Apr 10 17:44:59 UTC 2026","passed","Fri Apr 10 17:45:07 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","7994","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Apr 10 17:44:31 UTC 2026","passed","Fri Apr 10 17:44:39 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","2600","Verify that products are sorted correctly","Mobile Test Suite","Fri Apr 10 17:44:15 UTC 2026","passed","Fri Apr 10 17:44:17 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","8471","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Apr 10 17:44:01 UTC 2026","passed","Fri Apr 10 17:44:09 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","7804","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Apr 10 17:43:34 UTC 2026","passed","Fri Apr 10 17:43:41 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","3329","Verify that products are sorted correctly","Mobile Test Suite","Fri Apr 10 17:44:37 UTC 2026","passed","Fri Apr 10 17:44:40 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","2470","Verify that products are sorted correctly","Mobile Test Suite","Fri Apr 10 17:43:49 UTC 2026","passed","Fri Apr 10 17:43:52 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","3586","Verify that products are sorted correctly","Mobile Test Suite","Fri Apr 10 17:43:27 UTC 2026","passed","Fri Apr 10 17:43:31 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
