"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11138","Verify that user cannot login with invalid credentials","Mobile Test Suite","Sat Jan 10 17:25:49 UTC 2026","passed","Sat Jan 10 17:26:01 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","4240","Verify that products are sorted correctly","Mobile Test Suite","Sat Jan 10 17:25:05 UTC 2026","passed","Sat Jan 10 17:25:09 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","10350","Verify that user can login with valid credentials","Mobile Test Suite","Sat Jan 10 17:24:25 UTC 2026","passed","Sat Jan 10 17:24:36 UTC 2026","mobile.LoginTest","Mobile Tests","mobile.LoginTest","validLoginTest"
"","3246","Verify that products are sorted correctly","Mobile Test Suite","Sat Jan 10 17:24:47 UTC 2026","passed","Sat Jan 10 17:24:50 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","7339","Verify that user can add and remove product from cart","Mobile Test Suite","Sat Jan 10 17:24:25 UTC 2026","passed","Sat Jan 10 17:24:32 UTC 2026","mobile.CartTest","Mobile Tests","mobile.CartTest","addAndRemoveProductFromCartTest"
"","5033","Verify that products are sorted correctly","Mobile Test Suite","Sat Jan 10 17:24:24 UTC 2026","passed","Sat Jan 10 17:24:29 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","10399","Verify that user cannot login with invalid credentials","Mobile Test Suite","Sat Jan 10 17:26:16 UTC 2026","passed","Sat Jan 10 17:26:27 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","9826","Verify that user cannot login with invalid credentials","Mobile Test Suite","Sat Jan 10 17:24:25 UTC 2026","passed","Sat Jan 10 17:24:35 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","10652","Verify that user cannot login with invalid credentials","Mobile Test Suite","Sat Jan 10 17:25:21 UTC 2026","passed","Sat Jan 10 17:25:32 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","3956","Verify that products are sorted correctly","Mobile Test Suite","Sat Jan 10 17:25:27 UTC 2026","passed","Sat Jan 10 17:25:31 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","10890","Verify that user cannot login with invalid credentials","Mobile Test Suite","Sat Jan 10 17:24:53 UTC 2026","passed","Sat Jan 10 17:25:04 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","11162","Verify that user cannot login with invalid credentials","Mobile Test Suite","Sat Jan 10 17:26:44 UTC 2026","passed","Sat Jan 10 17:26:56 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
