"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4924","Verify that pet can be updated successfully with new data","API Test Suite","Sat Jan 10 17:24:03 UTC 2026","passed","Sat Jan 10 17:24:08 UTC 2026","api.UpdatePetTest","API Tests","api.UpdatePetTest","verifyPetCanBeUpdatedSuccessfully"
"","4781","Verify that pet can be created successfully with valid data","API Test Suite","Sat Jan 10 17:24:03 UTC 2026","passed","Sat Jan 10 17:24:07 UTC 2026","api.CreatePetTest","API Tests","api.CreatePetTest","verifyPetCanBeCreatedSuccessfully"
"","4503","Verify that pet can be retrieved successfully by ID","API Test Suite","Sat Jan 10 17:24:03 UTC 2026","passed","Sat Jan 10 17:24:07 UTC 2026","api.GetPetTest","API Tests","api.GetPetTest","verifyPetCanBeRetrievedById"
"","3705","Verify that pet can be deleted successfully by ID","API Test Suite","Sat Jan 10 17:24:03 UTC 2026","passed","Sat Jan 10 17:24:06 UTC 2026","api.DeletePetTest","API Tests","api.DeletePetTest","verifyPetCanBeDeletedSuccessfully"
