"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6143","Verify that user can add and remove product from cart","Mobile Test Suite","Fri Apr 10 17:34:46 UTC 2026","passed","Fri Apr 10 17:34:52 UTC 2026","mobile.CartTest","Mobile Tests","mobile.CartTest","addAndRemoveProductFromCartTest"
"","3017","Verify that products are sorted correctly","Mobile Test Suite","Fri Apr 10 17:35:08 UTC 2026","passed","Fri Apr 10 17:35:11 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","8340","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Apr 10 17:36:28 UTC 2026","passed","Fri Apr 10 17:36:36 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","2500","Verify that products are sorted correctly","Mobile Test Suite","Fri Apr 10 17:36:28 UTC 2026","passed","Fri Apr 10 17:36:30 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","7892","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Apr 10 17:35:56 UTC 2026","passed","Fri Apr 10 17:36:03 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","3076","Verify that products are sorted correctly","Mobile Test Suite","Fri Apr 10 17:36:02 UTC 2026","passed","Fri Apr 10 17:36:06 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","7956","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Apr 10 17:35:26 UTC 2026","passed","Fri Apr 10 17:35:34 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","2831","Verify that products are sorted correctly","Mobile Test Suite","Fri Apr 10 17:35:40 UTC 2026","passed","Fri Apr 10 17:35:42 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","9299","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Apr 10 17:34:48 UTC 2026","passed","Fri Apr 10 17:34:57 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","8120","Verify that user can login with valid credentials","Mobile Test Suite","Fri Apr 10 17:34:56 UTC 2026","passed","Fri Apr 10 17:35:04 UTC 2026","mobile.LoginTest","Mobile Tests","mobile.LoginTest","validLoginTest"
