"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5371","Verify that user can successfully login and logout","Web Test Suite","Fri Jan 09 15:02:14 UTC 2026","passed","Fri Jan 09 15:02:19 UTC 2026","web.LoginTest","Web Tests","web.LoginTest","successfulLoginAndLogoutTest"
"","10435","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Jan 09 15:04:50 UTC 2026","passed","Fri Jan 09 15:05:01 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","4527","Verify that pet can be deleted successfully by ID","API Test Suite","Fri Jan 09 15:01:28 UTC 2026","passed","Fri Jan 09 15:01:32 UTC 2026","api.DeletePetTest","API Tests","api.DeletePetTest","verifyPetCanBeDeletedSuccessfully"
"","5802","Verify that user can add multiple products to cart and remove one","Web Test Suite","Fri Jan 09 15:02:14 UTC 2026","passed","Fri Jan 09 15:02:19 UTC 2026","web.ShoppingTest","Web Tests","web.ShoppingTest","addMultipleProductsAndRemoveOneTest"
"","5528","Verify that pet can be updated successfully with new data","API Test Suite","Fri Jan 09 15:01:28 UTC 2026","passed","Fri Jan 09 15:01:33 UTC 2026","api.UpdatePetTest","API Tests","api.UpdatePetTest","verifyPetCanBeUpdatedSuccessfully"
"","6260","Verify that user can complete checkout process with generated user data","Web Test Suite","Fri Jan 09 15:02:14 UTC 2026","passed","Fri Jan 09 15:02:20 UTC 2026","web.CheckoutTest","Web Tests","web.CheckoutTest","completeCheckoutWithGeneratedUserDataTest"
"","5333","Verify that pet can be created successfully with valid data","API Test Suite","Fri Jan 09 15:01:28 UTC 2026","passed","Fri Jan 09 15:01:33 UTC 2026","api.CreatePetTest","API Tests","api.CreatePetTest","verifyPetCanBeCreatedSuccessfully"
"","3599","Verify that products are sorted correctly","Mobile Test Suite","Fri Jan 09 15:03:17 UTC 2026","passed","Fri Jan 09 15:03:21 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","4356","Verify that products are sorted correctly","Mobile Test Suite","Fri Jan 09 15:03:39 UTC 2026","passed","Fri Jan 09 15:03:44 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","11559","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Jan 09 15:04:20 UTC 2026","passed","Fri Jan 09 15:04:31 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","4292","Verify that products are sorted correctly","Mobile Test Suite","Fri Jan 09 15:04:24 UTC 2026","passed","Fri Jan 09 15:04:28 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","8647","Verify that user can add and remove product from cart","Mobile Test Suite","Fri Jan 09 15:03:41 UTC 2026","passed","Fri Jan 09 15:03:50 UTC 2026","mobile.CartTest","Mobile Tests","mobile.CartTest","addAndRemoveProductFromCartTest"
"","5081","Verify that pet can be retrieved successfully by ID","API Test Suite","Fri Jan 09 15:01:28 UTC 2026","passed","Fri Jan 09 15:01:33 UTC 2026","api.GetPetTest","API Tests","api.GetPetTest","verifyPetCanBeRetrievedById"
"","8833","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Jan 09 15:03:18 UTC 2026","passed","Fri Jan 09 15:03:27 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","8287","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Jan 09 15:05:46 UTC 2026","passed","Fri Jan 09 15:05:54 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","12328","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Jan 09 15:03:48 UTC 2026","passed","Fri Jan 09 15:04:00 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","9929","Verify that user cannot login with invalid credentials","Mobile Test Suite","Fri Jan 09 15:05:20 UTC 2026","passed","Fri Jan 09 15:05:30 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","3155","Verify that products are sorted correctly","Mobile Test Suite","Fri Jan 09 15:04:01 UTC 2026","passed","Fri Jan 09 15:04:04 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","8635","Verify that user can login with valid credentials","Mobile Test Suite","Fri Jan 09 15:03:12 UTC 2026","passed","Fri Jan 09 15:03:21 UTC 2026","mobile.LoginTest","Mobile Tests","mobile.LoginTest","validLoginTest"
